age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The car is red' in French.,La voiture est rouge,"[""Translate 'car' = 'voiture'."", ""Translate 'red' = 'rouge'."", ""Form sentence: 'La voiture est rouge'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'ten' in German?,zehn,"['Identify number 10.', ""Translate to German: 'zehn'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Sunday is holiday' in Arabic.,الأحد عطلة,"[""Translate 'Sunday' = 'الأحد'."", ""Translate 'holiday' = 'عطلة'."", ""Form sentence: 'الأحد عطلة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'cat' in Italian?,gatto,"[""Identify animal: 'cat'."", ""Translate to Italian: 'gatto'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The apple is ___.,La manzana es roja,"[""Identify color red = 'roja'."", ""Form sentence: 'La manzana es roja'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'eraser' to French.,gomme,"[""Identify classroom object: 'eraser'."", ""Translate to French: 'gomme'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The yellow book is on the shelf' in German.,Das gelbe Buch liegt auf dem Regal,"[""Translate 'book' = 'Buch', 'yellow' = 'gelbe'."", ""Translate 'shelf' = 'Regal'."", ""Use article 'das'."", ""Form sentence: 'Das gelbe Buch liegt auf dem Regal'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 20 in Arabic?,٢٠,"['Recall Arabic numerals.', ""Write 20 = '٢٠'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Tomorrow is Wednesday' in Italian.,Domani è mercoledì,"[""Translate 'tomorrow' = 'domani'."", ""Translate 'Wednesday' = 'mercoledì'."", ""Form sentence: 'Domani è mercoledì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The horse is fast' into Spanish.,El caballo es rápido,"[""Translate 'horse' = 'caballo'."", ""Translate 'fast' = 'rápido'."", ""Use correct article 'el'."", ""Form sentence: 'El caballo es rápido'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The pear is ___.,La poire est verte,"[""Identify singular noun 'poire'."", ""Identify color green = 'verte'."", ""Form sentence: 'La poire est verte'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The ruler is long' into German.,Das Lineal ist lang,"[""Translate 'ruler' = 'Lineal', 'long' = 'lang'."", ""Use article 'das'."", ""Form sentence: 'Das Lineal ist lang'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The pencil is yellow' in Arabic.,القلم أصفر,"[""Translate 'pencil' = 'القلم'."", ""Translate 'yellow' = 'أصفر'."", ""Form sentence: 'القلم أصفر'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'two' in Italian?,due,"['Recall Italian numbers 1–10.', ""Translate 2 = 'due'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The flower is ___.,La flor es rosa,"[""Identify the color pink = 'rosa'."", ""Form the sentence: 'La flor es rosa'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'one' in French?,un,"['Recall French numbers 1–10.', ""Identify number 1 = 'un'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Friday is a school day' in German.,Freitag ist ein Schultag,"[""Translate 'Friday' = 'Freitag'."", ""Translate 'is a school day' = 'ist ein Schultag'."", ""Form sentence: 'Freitag ist ein Schultag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'bird' in Arabic?,طائر,"[""Identify 'bird' in Arabic: 'طائر'."", ""Pronounce it as 'ta'ir'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The grape is ___.,L'uva è viola,"[""Identify color purple = 'viola'."", ""Form sentence: 'L'uva è viola'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'blackboard' to Spanish.,pizarra,"[""Identify classroom object: 'blackboard'."", ""Translate to Spanish: 'pizarra'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The tree is green' in French.,L'arbre est vert,"[""Translate 'tree' = 'arbre'."", ""Translate 'green' = 'vert'."", ""Form sentence: 'L'arbre est vert'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'three' in German?,drei,"['Identify number 3.', ""Translate to German: 'drei'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Wednesday is a school day' in Arabic.,الأربعاء يوم مدرسة,"[""Translate 'Wednesday' = 'الأربعاء'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الأربعاء يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'bird' in Italian?,uccello,"[""Identify animal: 'bird'."", ""Translate to Italian: 'uccello'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The lemon is ___.,El limón es amarillo,"[""Identify color yellow = 'amarillo'."", ""Form sentence: 'El limón es amarillo'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'chair' to French.,chaise,"[""Identify classroom object: 'chair'."", ""Translate to French: 'chaise'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The blue notebook is on the desk' in German.,Das blaue Heft liegt auf dem Schreibtisch,"[""Translate 'notebook' = 'Heft', 'blue' = 'blaue'."", ""Translate 'desk' = 'Schreibtisch'."", ""Use article 'das'."", ""Form sentence: 'Das blaue Heft liegt auf dem Schreibtisch'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 15 in Arabic?,١٥,"['Recall Arabic numerals.', ""Write 15 = '١٥'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Sunday' in Italian.,Ieri era domenica,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Sunday' = 'domenica'."", ""Form sentence: 'Ieri era domenica'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The rabbit is small' into Spanish.,El conejo es pequeño,"[""Translate 'rabbit' = 'conejo'."", ""Translate 'small' = 'pequeño'."", ""Use correct article 'el'."", ""Form sentence: 'El conejo es pequeño'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The cherry is ___.,La cerise est rouge,"[""Identify singular noun 'cerise'."", ""Identify color red = 'rouge'."", ""Form sentence: 'La cerise est rouge'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The eraser is white' into German.,Der Radiergummi ist weiß,"[""Translate 'eraser' = 'Radiergummi', 'white' = 'weiß'."", ""Use article 'der'."", ""Form sentence: 'Der Radiergummi ist weiß'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The notebook is red' in Arabic.,الدفتر أحمر,"[""Translate 'notebook' = 'الدفتر'."", ""Translate 'red' = 'أحمر'."", ""Form sentence: 'الدفتر أحمر'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'seven' in Italian?,sette,"['Recall Italian numbers 1–10.', ""Translate 7 = 'sette'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The tree is ___.,El árbol es verde,"[""Identify the color green = 'verde'."", ""Form the sentence: 'El árbol es verde'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'nine' in French?,neuf,"['Recall French numbers 1–10.', ""Identify number 9 = 'neuf'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Tuesday is a school day' in German.,Dienstag ist ein Schultag,"[""Translate 'Tuesday' = 'Dienstag'."", ""Translate 'is a school day' = 'ist ein Schultag'."", ""Form sentence: 'Dienstag ist ein Schultag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'fish' in Arabic?,سمكة,"[""Identify 'fish' in Arabic: 'سمكة'."", ""Pronounce it as 'samaka'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The orange is ___.,L'arancia è arancione,"[""Identify color orange = 'arancione'."", ""Form sentence: 'L'arancia è arancione'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'desk' to Spanish.,escritorio,"[""Identify classroom object: 'desk'."", ""Translate to Spanish: 'escritorio'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The sky is blue' in French.,Le ciel est bleu,"[""Translate 'sky' = 'ciel'."", ""Translate 'blue' = 'bleu'."", ""Form sentence: 'Le ciel est bleu'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'one' in German?,eins,"['Identify number 1.', ""Translate to German: 'eins'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Monday is a school day' in Arabic.,الاثنين يوم مدرسة,"[""Translate 'Monday' = 'الاثنين'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الاثنين يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'fish' in Italian?,pesce,"[""Identify animal: 'fish'."", ""Translate to Italian: 'pesce'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The strawberry is ___.,La fresa es roja,"[""Identify color red = 'roja'."", ""Form sentence: 'La fresa es roja'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'table' to French.,table,"[""Identify classroom object: 'table'."", ""Translate to French: 'table'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The red pen is on the shelf' in German.,Der rote Stift liegt auf dem Regal,"[""Translate 'pen' = 'Stift', 'red' = 'rote'."", ""Translate 'shelf' = 'Regal'."", ""Use article 'der'."", ""Form sentence: 'Der rote Stift liegt auf dem Regal'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 18 in Arabic?,١٨,"['Recall Arabic numerals.', ""Write 18 = '١٨'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Tomorrow is Friday' in Italian.,Domani è venerdì,"[""Translate 'tomorrow' = 'domani'."", ""Translate 'Friday' = 'venerdì'."", ""Form sentence: 'Domani è venerdì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The dog is big' into Spanish.,El perro es grande,"[""Translate 'dog' = 'perro'."", ""Translate 'big' = 'grande'."", ""Use correct article 'el'."", ""Form sentence: 'El perro es grande'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The orange is ___.,L'orange est orange,"[""Identify singular noun 'orange'."", ""Identify color = 'orange'."", ""Form sentence: 'L'orange est orange'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The book is blue' into German.,Das Buch ist blau,"[""Translate 'book' = 'Buch', 'blue' = 'blau'."", ""Use article 'das'."", ""Form sentence: 'Das Buch ist blau'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The pen is red' in Arabic.,القلم أحمر,"[""Translate 'pen' = 'القلم'."", ""Translate 'red' = 'أحمر'."", ""Form sentence: 'القلم أحمر'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: numbers,medium,question,How do you say 'four' in Italian?,quattro,"['Recall Italian numbers 1–10.', ""Translate 4 = 'quattro'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: colors,easy,fill-in-the-blank,The lemon is ___.,El limón es amarillo,"[""Identify the color yellow = 'amarillo'."", ""Form the sentence: 'El limón es amarillo'.""]"
5–7,Foreign Language,French,Simple vocabulary: numbers,easy,question,What is 'eight' in French?,huit,"['Recall French numbers 1–10.', ""Identify number 8 = 'huit'.""]"
5–7,Foreign Language,German,Simple vocabulary: days,medium,sentence,Say 'Thursday is a school day' in German.,Donnerstag ist ein Schultag,"[""Translate 'Thursday' = 'Donnerstag'."", ""Translate 'is a school day' = 'ist ein Schultag'."", ""Form sentence: 'Donnerstag ist ein Schultag'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: animals,easy,question,How do you say 'horse' in Arabic?,حصان,"[""Identify 'horse' in Arabic: 'حصان'."", ""Pronounce it as 'ḥiṣān'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: fruits,easy,fill-in-the-blank,The pineapple is ___.,L'ananas è giallo,"[""Identify color yellow = 'giallo'."", ""Form sentence: 'L'ananas è giallo'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: classroom objects,medium,question,Translate 'pen' to Spanish.,bolígrafo,"[""Identify classroom object: 'pen'."", ""Translate to Spanish: 'bolígrafo'.""]"
5–7,Foreign Language,French,Simple vocabulary: colors,medium,sentence,Say 'The apple is red' in French.,La pomme est rouge,"[""Translate 'apple' = 'pomme'."", ""Translate 'red' = 'rouge'."", ""Form sentence: 'La pomme est rouge'.""]"
5–7,Foreign Language,German,Simple vocabulary: numbers,easy,question,How do you say 'two' in German?,zwei,"['Identify number 2.', ""Translate to German: 'zwei'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: days,medium,sentence,Say 'Thursday is a school day' in Arabic.,الخميس يوم مدرسة,"[""Translate 'Thursday' = 'الخميس'."", ""Translate 'school day' = 'يوم مدرسة'."", ""Form sentence: 'الخميس يوم مدرسة'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: animals,medium,question,How do you say 'horse' in Italian?,cavallo,"[""Identify animal: 'horse'."", ""Translate to Italian: 'cavallo'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: fruits,medium,fill-in-the-blank,The pear is ___.,La pera es verde,"[""Identify color green = 'verde'."", ""Form sentence: 'La pera es verde'.""]"
5–7,Foreign Language,French,Simple vocabulary: classroom objects,medium,question,Translate 'notebook' to French.,cahier,"[""Identify classroom object: 'notebook'."", ""Translate to French: 'cahier'.""]"
5–7,Foreign Language,German,Simple vocabulary: colors,hard,sentence,Say 'The blackboard is green' in German.,Die Tafel ist grün,"[""Translate 'blackboard' = 'Tafel', 'green' = 'grün'."", ""Use article 'die'."", ""Form sentence: 'Die Tafel ist grün'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: numbers,hard,question,How do you write 25 in Arabic?,٢٥,"['Recall Arabic numerals.', ""Write 25 = '٢٥'.""]"
5–7,Foreign Language,Italian,Simple vocabulary: days,hard,sentence,Say 'Yesterday was Thursday' in Italian.,Ieri era giovedì,"[""Translate 'yesterday' = 'ieri'."", ""Translate 'Thursday' = 'giovedì'."", ""Form sentence: 'Ieri era giovedì'.""]"
5–7,Foreign Language,Spanish,Simple vocabulary: animals,hard,question,Translate 'The bird is small' into Spanish.,El pájaro es pequeño,"[""Translate 'bird' = 'pájaro'."", ""Translate 'small' = 'pequeño'."", ""Use correct article 'el'."", ""Form sentence: 'El pájaro es pequeño'.""]"
5–7,Foreign Language,French,Simple vocabulary: fruits,hard,fill-in-the-blank,The grape is ___.,Le raisin est violet,"[""Identify singular noun 'raisin'."", ""Identify color purple = 'violet'."", ""Form sentence: 'Le raisin est violet'.""]"
5–7,Foreign Language,German,Simple vocabulary: classroom objects,hard,question,Translate 'The pencil is red' into German.,Der Bleistift ist rot,"[""Translate 'pencil' = 'Bleistift', 'red' = 'rot'."", ""Use article 'der'."", ""Form sentence: 'Der Bleistift ist rot'.""]"
5–7,Foreign Language,Arabic,Simple vocabulary: colors,medium,sentence,Say 'The apple is green' in Arabic.,التفاحة خضراء,"[""Translate 'apple' = 'التفاحة'."", ""Translate 'green' = 'خضراء'."", ""Form sentence: 'التفاحة خضراء'.""]"
